甲公司向乙公司签发一张银行承兑汇票，承兑银行为 A 银行。乙公司取得该票据后，为支付到期货款将该票据背书转让给丙公司，同时在票据上记载“如果丙公司 按时发货，那么背书有效”。根据票据与支付结算法律制度的规定，下列表述正确的 有 ( ) 。,背书附有条件，背书无效,背书所附条件不具有汇票上的效力，背书有效,丙公司不能取得票据权利,丙公司可以取得票据权利,第九章 票据与支付结算法律制度,BD,背书不得附有条件，背书附有条件的，所附条件不具有汇票 上的效力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/136356.html">2020年注册会计师考试《经济法》每日一练(7-9)</a>,多选 经济法
根据票据法律制度的规定，下列选项中属于无效票据的有( )。,甲出票给乙，甲在票据上的签章不符合票据法的规定,甲出票给乙，票据金额的中文大写和数码不一致,甲出票给乙，但甲所使用的票据不是中国人民银行统一规定印制的票据,甲出票给乙，后甲又将收款人名称由乙改为了丙,第九章 票据与支付结算法律制度,ABCD,汇票上必须记载以下 7 个事项，否则汇票无效：表明汇票字样;无条件支付的委托;确定的金额;付款人名称;收款人名称;出票日期;出票人签章。其中票据金额以中文大写和数码同时记载，二者必须一致，二者不一致的， 票据无效;票据金额，收款人名称，出票日期不得更改的，更改的票据无效。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135991.html">2020年注册会计师考试《经济法》每日一练(7-8)</a>,多选 经济法
甲公司为支付到期货款签发一张票面金额为 50 万元的银行承兑汇票给乙公司，承兑银行为 A 银行，乙公司将该票据质押给丙公司向丙公司借款 50 万元。并在票据上记载“质押”字样签章后交付给了丙公司。根据票据与支付结算法律制度的规定， 下列表述不正确的是( )。,丙公司可以将该票据再次背书转让给丁公司,丙公司可以进行委托收款背书,丙公司可以行使票据权利,丙公司对该票据享有优先于乙公司其他债权人的权利,第九章 票据与支付结算法律制度,A,选项 A：质押背书的被背书人并不享有对票据权利的处分权， 被背书人再行转让背书或者质押背书的，背书行为无效。但是被背书人(丙公司)可以再进行委托收款背书。经质押背书，被背书人即取得票据质权。票据质权人的权利体现在：第一，有权以相当于票据权利人的地位行使票据权利，包括付款请求权、追索权。第二票据质权人的优先受偿权。出质人如有其他债权人，票据质权人享有优先于其他债权人的权利。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135991.html">2020年注册会计师考试《经济法》每日一练(7-8)</a>,单选 经济法
甲公司是一金额为 80 万元的汇票的持票人。甲公司在汇票上背书：“将此汇票金额中的 50 万元转让给乙公司”。甲公司背书的后果是( )。,背书无效，票据权利不发生转移的后果,视为将全部票据权利转让给乙公司,背书有效，乙公司取得 50 万元票据权利,背书违反票据法，导致票据无效,第九章 票据与支付结算法律制度,A,将汇票金额的一部分转让的背书或者将汇票金额分别转让给二人以上的背书无效;部分背书无效，但票据仍有效。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135991.html">2020年注册会计师考试《经济法》每日一练(7-8)</a>,单选 经济法
甲公司对乙公司负有债务。为了担保其债务的履行，甲公司同意将一张以本公司为收款人的汇票质押给乙公司，为此，双方订立了书面的质押合同，并交付了票据。 甲公司未按时履行债务，乙公司遂于该票据到期时持票据向承兑人提示付款。下列表述中，正确的是( )。,承兑人应当向乙公司付款,如果乙公司同时提供了书面质押合同证明自己的权利，承兑人应当付款,如果甲公司书面证明票据质押的事实，承兑人应当付款,承兑人可以拒绝付款,第九章 票据与支付结算法律制度,D,根据规定，以汇票设定质押时，出质人在汇票上只记载了“质 押”字样未在票据上签章的，或者出质人未在汇票、粘单上记载“质押”字样而另行签订质押合同、质押条款的，不构成票据质押。本题中是“另行签订质押合同”，而没有在票据上记载“质押字样”，所以没有设立质权，乙公司不能行使质权;承兑人 可以拒绝付款。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135991.html">2020年注册会计师考试《经济法》每日一练(7-8)</a>,单选 经济法
根据票据法律制度的规定，票据权利包括( )。,背书权与抗辩权,拒绝承兑权和拒绝付款权,付款请求权和追索权,背书权和支付请求权,第九章 票据与支付结算法律制度,C,票据权利，是指持票人基于票据行为而取得的、向票据债务人请求支付票据金额的权利，包括了付款请求权和追索权两个方面。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135748.html">2020年注册会计师考试《经济法》每日一练(7-7)</a>,单选 经济法
根据票据法律制度的规定，下列各项中，不属于票据义务人的有( )。,未经承兑的汇票的付款人,委托收款人,代理付款人,支票的付款人,第九章 票据与支付结算法律制度,ABCD,支票上的付款人以及未经承兑的汇票的付款人，并非票据义务人，而仅仅是票据关系的“关系人”(或称为“关系主体”)。他们未在票据 上签章，并不承担票据债务，但是他们的行为对票据关系产生重要影响。此外，委托 收款人以及代理付款人也是票据关系上的关系主体，而非票据义务人。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135748.html">2020年注册会计师考试《经济法》每日一练(7-7)</a>,多选 经济法
根据票据法律制度的规定，下列有关汇票记载事项的表述中，正确的是( )。,汇票上未记载付款日期的，为出票后一个月内付款,汇票上未记载收款人名称的，以持票人为收款人,汇票上未记载出票日期的，汇票无效,汇票上未记载付款地的，出票人的营业场所、住所或经常居住地为付款地,第九章 票据与支付结算法律制度,C,汇票上未记载付款日期的视为见票即付，因此选项 A 错误。汇票上未记载付款地的，以“付款人”的营业场所、住所或者经常居住地为付款地， 因此选项 D 错误。收款人名称属于绝对必要记载事项，汇票上未记载收款人名称的汇票无效，因此选项 B 错误。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135748.html">2020年注册会计师考试《经济法》每日一练(7-7)</a>,单选 经济法
根据票据法律制度的规定，下列有关汇票未记载事项的表述中，正确的是( )。,汇票上未记载付款日期的，为出票后三个月内付款,汇票上未记载付款地的，以出票人的营业场所、住所或者经常居住地为付款地,汇票上未记载收款人名称的，经出票人授权可以补记,汇票上未记载出票日期的，该汇票无效,第九章 票据与支付结算法律制度,D,选项 A：汇票上未记载付款日期的，视为见票即付;选项B： 汇票上未记载付款地的，以“付款人”的营业场所、住所或者经常居住地为付款地; 选项 C：收款人名称属于汇票的绝对必要记载事项，未记载收款人名称的汇票无效; 选项 D：出票日期属于绝对必要记载事项，未记载出票日期的汇票无效。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135748.html">2020年注册会计师考试《经济法》每日一练(7-7)</a>,单选 经济法
银行汇票记载的金额可以有汇票金额和实际结算金额。对此，下列说法不正确的是( )。,汇票上记载有实际结算金额的，以实际结算金额为汇票金额,汇票记载汇票金额而未记载实际结算金额，该汇票无效,实际结算金额只能小于或等于汇票金额,实际结算金额大于汇票金额的，实际结算金额无效,第九章 票据与支付结算法律制度,B,未填明实际结算金额和多余金额或实际结算金额超过出票金额的，银行不予受理。记载汇票金额而未记载实际结算金额的，以记载的汇票金额结 算。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135748.html">2020年注册会计师考试《经济法》每日一练(7-7)</a>,单选 经济法
根据企业破产法律制度的规定，债务人财产应当优先清偿下列债务中的( )。,税款,职工工资,破产案件的诉讼费用,纳入社会统筹账户的社会保险费用,第八章 企业破产法律制度,C,破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：(1)破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职 工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付 给职工的补偿金;(2)破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税 款;(3)普通破产债权。破产案件的诉讼费用属于破产费用。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135325.html">2020年注册会计师考试《经济法》每日一练(7-6)</a>,单选 经济法
根据支付结算法律制度的规定，下列银行结算账户中，可以办理现金支取的是( )。,基本存款账户,一般存款账户,财政预算外资金专用存款账户,期货交易保证金专用存款账户,第九章 票据与支付结算法律制度,A,(1)选项 A：基本存款账户是指存款人因办理日常转账结算和现金收付需要而开立的银行账户;(2)选项 B：一般存款账户是指存款人在基本存款账户开户行以外的银行营业机构开立的用于办理借款转存、借款归还和其他结算的 银行结算账户。该账户可以办理现金缴存但不得办理现金支取;(3)选项CD：财政 预算外资金、证券交易结算资金、期货交易保证金和信托基金专用存款账户，不得支 取现金。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135325.html">2020年注册会计师考试《经济法》每日一练(7-6)</a>,单选 经济法
根据票据与支付结算法律制度的规定，下列关于银行结算账户的表述中，正确的有( )。,银行结算账户是活期存款账户,单位银行结算账户按用途可分为基本存款账户、一般存款账户、专用存款账户、 临时存款账户,存款人只能在注册地或住所地开设银行结算账户,合格境外机构投资者在境内从事证券投资开立的人民币特殊账户和人民币结算账户资金账户纳入专用存款账户管理,第九章 票据与支付结算法律制度,ABD,选项 C：存款人应在注册地或住所地开设银行结算账户。按照法律、行政法规和规章，可以在异地(跨省、市、县或区)开立银行结算账户的 除外。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135325.html">2020年注册会计师考试《经济法》每日一练(7-6)</a>,多选 经济法
以证券的作用为标准，证券有证权证券和设权证券之分。票据法所称票据( )。,是证权证券,是设权证券,在票据背书转让前是设权证券，在转让后是证权证券,有时是设权证券，有时是证权证券,第九章 票据与支付结算法律制度,B,票据是设权证券。设权证券，是指权利的发生必须首先作成证券。票据上所表示的权利，是由出票行为而创设，没有票据，就没有票据上的权利。 因此，票据是一种设权证券。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135325.html">2020年注册会计师考试《经济法》每日一练(7-6)</a>,单选 经济法
我国票据法所规范的商业汇票可分为( )。,商业承兑汇票,银行汇票,银行承兑汇票,企业汇票,第九章 票据与支付结算法律制度,AC,汇票分为银行汇票和商业汇票。商业汇票分为商业承兑汇票 和银行承兑汇票。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135325.html">2020年注册会计师考试《经济法》每日一练(7-6)</a>,多选 经济法
