下列选项中，不属于破产企业管理人应履行的职责有( )。,更换债权人委员会成员,决定债务人的内部管理事务,主持债权人会议,接管债务人的财产,第八章 企业破产法律制度,AC,更换债权人委员会成员，是债权人会议的职责，债权人会议是由债权人会议主席主持的，并非管理人主持。故本题正确答案为AC。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133241.html">2020年注册会计师考试《经济法》每日一练(6-24)</a>,多选 经济法
下列关于执行案件移送破产审查，应当符合的条件有( )。,被执行人为企业法人,受移送法院同意受理接受,被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查,被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力,第八章 企业破产法律制度,ACD,执行案件移送破产审查，应同时符合下列条件：(1)被执行人为企业法人;(2)被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查;(3)被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,多选 经济法
根据企业破产法律制度的规定，下列主体中，可以担任管理人的是( )。,与债权人存在尚未了结债务的人,曾被吊销注册会计师证书的人,破产案件受理的4年前曾担任债务人董事的人,因故意犯罪受过刑事处罚,第八章 企业破产法律制度,C,下列这些人员不得担任管理人：(1)因故意犯罪受过刑事处罚;(2)曾被吊销相关专业执业证书;(3)与本案有利害关系;(4)人民法院认为不宜担任管理人的其他情形。其中利害关系指：与债务人、债权人有未了结的债权债务关系;在人民法院受理破产申请前3年内，曾为债务人提供相对固定的中介服务;现在是或者在人民法院受理破产申请前3年内曾经是债务人、债权人的控股股东或者实际控制人。现在担任或者在人民法院受理破产申请前3年内曾经担任债务人、债权人的财务顾问、法律顾问。所以本题选C。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
根据企业破产法律制度的规定，下列人员中，可以担任破产企业管理人的是( )。,李某因故意伤害罪被判处5年有期徒刑，执行期满5年,律师王某曾被吊销律师执业证书,张某曾在2年前为债务人担任法律顾问,刚刚取得律师执业证书的刘某,第八章 企业破产法律制度,D,(1)选项AB：管理人可以由有关部门、机构的人员组成的清算组或者依法设立的律师事务所、会计师事务所、破产清算事务所等社会中介机构担任。有下列情形之一的，不得担任管理人：①因故意犯罪受过刑事处罚;②曾被吊销相关专业执业证书;③与本案有利害关系;④人民法院认为不宜担任管理人的其他情形。(2)选项C：现在担任或者在人民法院受理破产申请前3年内曾担任债务人、债权人的财务顾问、法律顾问。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132599.html">2020年注册会计师考试《经济法》每日一练(6-22)</a>,单选 经济法
下列关于执行案件移送破产审查中的执行法院决定程序的说法错误的是()。,执行法院作出移送决定后，应当于五日内送达申请执行人和被执行人。申请执行人或被执行人对决定有异议的，可以在受移送法院破产审查期间提出，由受移送法院一并处理,对被执行人的季节性商品、鲜活、易腐烂变质以及其他不宜长期保存的物品，执行法院应当及时变价处置，处置的价款不作分配,执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施解除,执行法院作出移送决定后，应当书面通知所有已知执行法院，执行法院均应中止对被执行人的执行程序,第八章 企业破产法律制度,C,为确保对被执行人财产的查封、扣押、冻结措施的连续性，执行法院决定移送后、受移送法院裁定受理破产案件之前，对被执行人的查封、扣押、冻结措施不解除。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132281.html">2020年注册会计师考试《经济法》每日一练(6-19)</a>,单选 经济法
下列关于执行案件移送破产审查，应当符合的条件有( )。,被执行人为企业法人,受移送法院同意受理接受,被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查,被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力,第八章 企业破产法律制度,ACD,执行案件移送破产审查，应同时符合下列条件：(1)被执行人为企业法人;(2)被执行人或者有关被执行人的任何一个执行案件的申请执行人书面同意将执行案件移送破产审查;(3)被执行人不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132281.html">2020年注册会计师考试《经济法》每日一练(6-19)</a>,多选 经济法
根据企业破产法律制度的规定，下列主体中，可以担任管理人的是( )。,与债权人存在尚未了结债务的人,曾被吊销注册会计师证书的人,破产案件受理的4年前曾担任债务人董事的人,因故意犯罪受过刑事处罚,第八章 企业破产法律制度,C,下列这些人员不得担任管理人：(1)因故意犯罪受过刑事处罚;(2)曾被吊销相关专业执业证书;(3)与本案有利害关系;(4)人民法院认为不宜担任管理人的其他情形。其中利害关系指：与债务人、债权人有未了结的债权债务关系;在人民法院受理破产申请前3年内，曾为债务人提供相对固定的中介服务;现在是或者在人民法院受理破产申请前3年内曾经是债务人、债权人的控股股东或者实际控制人。现在担任或者在人民法院受理破产申请前3年内曾经担任债务人、债权人的财务顾问、法律顾问。所以本题选C。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132281.html">2020年注册会计师考试《经济法》每日一练(6-19)</a>,单选 经济法
根据企业破产法律制度的规定，下列人员中，可以担任破产企业管理人的是( )。,李某因故意伤害罪被判处5年有期徒刑，执行期满5年,律师王某曾被吊销律师执业证书,张某曾在2年前为债务人担任法律顾问,刚刚取得律师执业证书的刘某,第八章 企业破产法律制度,D,(1)选项AB：管理人可以由有关部门、机构的人员组成的清算组或者依法设立的律师事务所、会计师事务所、破产清算事务所等社会中介机构担任。有下列情形之一的，不得担任管理人：①因故意犯罪受过刑事处罚;②曾被吊销相关专业执业证书;③与本案有利害关系;④人民法院认为不宜担任管理人的其他情形。(2)选项C：现在担任或者在人民法院受理破产申请前3年内曾担任债务人、债权人的财务顾问、法律顾问。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/132281.html">2020年注册会计师考试《经济法》每日一练(6-19)</a>,单选 经济法
根据企业破产法律制度的规定，下列表述不正确的是( )。,	,	,	,	,第八章 企业破产法律制度,B,选项B：和解申请只能由债务人一方提出。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131927.html">2020年注册会计师考试《经济法》每日一练(6-18)</a>,单选 经济法
甲企业为国有工业企业，因经营管理不善，长期无法清偿到期债务。甲企业的债权人乙公司向法院申请宣告甲企业破产。乙公司提出破产申请时，应提交的材料有( )。,甲企业和乙公司的基本情况,债权债务的由来,职工安置预案,债权到期，债务人不能清偿的事实,第八章 企业破产法律制度,ABD,选项C属于债务人申请破产应当向人民法院提交的材料。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131927.html">2020年注册会计师考试《经济法》每日一练(6-18)</a>,多选 经济法
债务人申请破产，人民法院的下列做法正确的是( )。,人民法院应当自收到破产申请之日起15日内裁定是否受理,人民法院裁定受理破产申请的，应当将裁定自作出之日起25日内送达债务人,人民法院裁定受理破产申请的，应当在裁定受理破产申请之日起15日内送达债权人,人民法院裁定受理破产的，不需要同时指定管理人,第八章 企业破产法律制度,A,人民法院应当自收到破产申请之日起15日内裁定是否受理。有特殊情况需要延长受理案件期限的，经上一级人民法院批准，可以延长15日。人民法院裁定受理破产申请的，应当将裁定自作出之日起5日内送达债务人。人民法院裁定受理破产申请的，应当同时指定管理人，并在裁定受理破产申请之日起25日内通知已知债权人，并予以公告。B项应该是5日;C项应是25日;D项应同时指定。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131927.html">2020年注册会计师考试《经济法》每日一练(6-18)</a>,单选 经济法
破产申请受理后，下列行为有效的有( )。,债务人对个别债权人的债务清偿,债务人的债务人或者财产持有人应当向管理人清偿债务或者交付财产,已经开始而尚未终结的有关债务人的民事诉讼或者仲裁不用中止,人民法院受理破产申请后，有关债务人财产的保全措施无需解除,第八章 企业破产法律制度,B,破产案件的受理的意义在于使所有债权人获得公平的受偿，但是ACD都会影响这一效果的实现。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131927.html">2020年注册会计师考试《经济法》每日一练(6-18)</a>,单选 经济法
债权人申请破产的，债务人主张的下列异议不成立的有( )。,以对债务人的债务负有连带责任的人未丧失清偿能力为由，主张债务人不具备破产原因,债务人以其具有清偿能力或者资产超过负债为由提出异议，但又不能立即清偿债务或与债权人达成和解的,以申请人未预先交纳诉讼费用为由，对破产申请提出异议,债务人以债权人的债权存在担保为由提出异议的,第八章 企业破产法律制度,ABCD,异议不成立的情形：(1)相关当事人以对债务人的债务负有连带责任的人未丧失清偿能力为由，主张债务人不具备破产原因的，人民法院应不予支持;(2)当债权人申请债务人破产时，债务人以其具有清偿能力或者资产超过负债为由提出异议，但又不能立即清偿债务或者与债权人达成和解的，其异议不能成立;(3)当债权人申请债务人破产时，债务人对债权人享有债权的数额提出异议时，如果存在双方无争议的部分债权数额，且债务人对该数额的债务已经丧失清偿能力，则此项异议不影响人民法院对破产申请的受理;(4)当债权人申请债务人破产时，债务人对债权人的债权是否存在担保等提出异议，因其不影响破产原因的成立，该异议不影响人民法院对破产申请的受理。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131927.html">2020年注册会计师考试《经济法》每日一练(6-18)</a>,多选 经济法
根据企业破产法律制度，个人管理人发生下列情形，债权人会议可以请求法院予以更换的有( )。,执业资格被取消,被宣告失踪,丧失民事行为能力,因健康原因无法履行职务,第八章.企业破产法律制度,ABCD,四个选项均当选。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131698.html">2020年注册会计师考试《经济法》每日一练(6-17)</a>,多选 经济法
根据《企业破产法》的规定，下列选项中，属于重整制度特点的有( )。,重整申请时间提前、启动主体多元化,重整程序具有强制性,参与重整活动的主体多元化、重整措施多样化,担保物权受限,第八章.企业破产法律制度,ABCD,重整制度具有以下特点：第一，重整申请时间提前、启动主体多元化。第二，参与重整活动的主体多元化、重整措施多样化。 第三，担保物权受限。第四，重整程序具有强制性。第五，债务人可负责制定、执行重整计划。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131698.html">2020年注册会计师考试《经济法》每日一练(6-17)</a>,多选 经济法
某破产企业经法院批准进入破产重整阶段，重整计划对普通债权人组进行了权利调整，削减对债权人组的债权至30%清偿率，重整计划执行1年后，普通债权人组的债权人获得了3%的部分清偿，债务人不再执行重整计划，应当如何处理( )。,法院经管理人申请裁定终止重整计划的执行,债权人因执行重整计划所受的3%的清偿仍然有效,债务人被宣告破产转入清算程序,债权人未获清偿的97%的债权应当作为破产债权参与破产财产的分配,第八章.企业破产法律制度,ABCD,债务人不能执行或者不执行重整计划的，人民法院经管理人或者利害关系人请求，应当裁定终止重整计划的执行，并宣告债务人破产，AC正确;债权人因执行重整计划所受的清偿仍然有效，债权人未受清偿的部分作为破产债权，BD正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131698.html">2020年注册会计师考试《经济法》每日一练(6-17)</a>,多选 经济法
债务人企业占有的非债务人所有的财产，在破产受理之前发生毁损和灭失的。若有保险金的且尚未交付给债务人，下列说法错误的有( )。,权利人可以主张取回该保险金,权利人的损失作为共益债务清偿,由管理人对此损失进行赔偿,该损失额即便有保险金、赔偿金、代偿物，权利人也只能就损失额以普通债权申报,第八章.企业破产法律制度,BCD,根据规定，债务人占有的他人财产毁损、灭失，因此获得的保险金、赔偿金、代偿物尚未交付给债务人，或者代偿物虽已交付给债务人但能与债务人财产予以区分的，权利人主张取回就此获得的保险金、赔偿金、代偿物的，人民法院应予支持。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131698.html">2020年注册会计师考试《经济法》每日一练(6-17)</a>,多选 经济法
根据企业破产法律制度的规定，下列关于管理人报酬的表述中正确的有(  )。,管理人由人民法院指定，报酬由人民法院确定，向人民法院报告工作,管理人执行职务的费用、报酬和聘用工作人员的费用为破产费用,人民法院采取公开竞争方式指定管理人的，其报酬由人民法院决定,管理人发生更换的，人民法院应当分别确定更换前后的管理人报酬,第八章.企业破产法律制度,ABD,选项C：人民法院采取公开竞争方式指定管理人的，可以根据社会中介机构提出的报价确定管理人报酬方案，报酬比例不得超出相应的限制范围。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131698.html">2020年注册会计师考试《经济法》每日一练(6-17)</a>,多选 经济法
我国现行《企业破产法》在地域适用范围上采用的原则是()。,普及主义,属地主义,有限制的普及主义,缔结主义,第八章 企业破产法律制度,C,我国《企业破产法》采取有限制的普及主义原则。关于破产程序的域外效力，在立法上主要有两种理论。一种是属地主义，主张破产程序的效力仅及于本国国内，只有破产人在该国内的财产属于破产财产。另一种为普及主义，认为破产制度设立的目的，在于一次性公平解决破产人全部债务清偿问题，所以破产程序的效力应及于破产人在国内外的全部财产。两种立法主义各有利弊，当今世界各国的破产法很少有绝对采取某一种主义，大多采取一些变通措施解决实际问题。有的国家对外国破产程序视同外国裁判，按照相应的法律程序个案处理，在一定条件下承认其全部或部分效力。有的国家采取缔结条约的方法，承认缔约方破产程序在本国具有相应的法律效力。还有一些国家在本国立法中采纳《联合国贸易法委员会跨国界破产示范法》，通过全球立法统一化的方式解决跨境破产问题。目前，适当承认外国破产程序的效力已成为各国的立法趋势。两种理论的结合就是有限制的普及主义原则。所以我国现在是两种主义的结合。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131462.html">2020年注册会计师考试《经济法》每日一练(6-16)</a>,单选 经济法
根据《企业破产法》及相关法律制度的规定，下列选项中可以参照适用《企业破产法》规定的有()。,合伙企业,农民专业合作社,民办学校,个人独资企业,第八章 企业破产法律制度,ABCD,1.破产法的主体适用范围是所有的企业法人，其他法律规定企业法人以外的组织的清算，属于破产清算的，参照适用本法规定的程序。2.根据其他法律规定，可以参照适用破产法的主体主要是合伙企业、农民专业合作社等。3.资不抵债的民办学校的清算，参照适用《企业破产法》规定的程序进行。4.在个人独资企业不能清偿到期债务，并且资产不足以清偿全部债务或者明显缺乏清偿能力的情况下，可以参照适用企业破产法规定的破产清算程序进行清算。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131462.html">2020年注册会计师考试《经济法》每日一练(6-16)</a>,多选 经济法
甲公司的债权人向法院申请甲破产清算，下列情形中符合规定的是()。,甲公司主张对其债务负有连带责任的乙公司并未丧失清偿能力，甲公司不具备破产原因,甲公司主张所欠的债务尚未到期，甲公司不具备破产原因,甲公司主张虽然公司长期亏损且经营扭亏困难，无法清偿债务，但公司账面资产大于负债，不属于明显缺乏清偿能力,甲公司主张虽然经人民法院强制执行，无法清偿债务，但公司账面资产大于负债，不属于明显缺乏清偿能力,第八章 企业破产法律制度,B,相关当事人以对债务人的债务负有连带责任的人未丧失清偿能力为由，主张债务人不具备破产原因的，人民法院应不予支持;选项A不符合规定。下列情形同时存在的，人民法院应当认定债务人不能清偿到期债务：(1)债权债务关系依法成立;(2)债务履行期限已经届满;(3)债务人未完全清偿债务;选项B的表述符合规定。债务人账面资产虽大于负债，但存在下列情形之一的，人民法院应当认定其明显缺乏清偿能力：(1)因资金严重不足或者财产不能变现等原因，无法清偿债务;(2)法定代表人下落不明且无其他人员负责管理财产，无法清偿债务;(3)经人民法院强制执行，无法清偿债务;(4)长期亏损且经营扭亏困难，无法清偿债务;(5)导致债务人丧失清偿能力的其他情形。因此选项C.D的表述不符合规定。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131462.html">2020年注册会计师考试《经济法》每日一练(6-16)</a>,单选 经济法
甲公司欠乙公司的债务100万元，根据企业破产法律制度的规定，下列选项中，属于人民法院认定甲公司不能清偿到期债务需同时满足的情形有()。,甲公司与乙公司的债权债务关系依法成立,甲公司债务履行期限已经届满,该债务未提供足额的担保,甲公司未完全清偿乙公司的债务100万元,第八章 企业破产法律制度,ABD,根据规定，下列情形同时存在的，人民法院应当认定债务人不能清偿到期债务：(1)债权债务关系依法成立;(2)债务履行期限已经届满;(3)债务人未完全清偿债务。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131462.html">2020年注册会计师考试《经济法》每日一练(6-16)</a>,多选 经济法
根据公司法律制度的规定，人民法院指定的清算组在清理公司财产、编制资产负债表和财产清单时，发现公司财产不足清偿债务的，可以与债权人协商制作有关债务清偿方案。清算组依据该清偿方案清偿债务后，应当向人民法院申请()。,裁定终结清算程序,重整,宣告破产,和解,第八章 企业破产法律制度,A,根据规定，人民法院指定的清算组在清理公司财产、编制资产负债表和财产清单时，发现公司财产不足清偿债务的，可以与债权人协商制作有关债务清偿方案。清算组依据该清偿方案清偿债务后，应当向人民法院申请裁定终结清算程序。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131462.html">2020年注册会计师考试《经济法》每日一练(6-16)</a>,单选 经济法根据上市公司收购法律制度的规定，下列情形中，属于表明投资者获得或拥有上市公司控制权的有( )。,投资者为上市公司持股50%以上的控股股东,投资者可实际支配上市公司股份表决权超过30%,投资者通过实际支配上市公司股份表决权能够决定公司董事会1/3成员选任,投资者依其可实际支配的上市公司股份表决权足以对公司股东大会的决议产生重大影响,第七章.证券法律制度,ABD,根据《上市公司收购管理办法》规定，有下列情形之一的，为拥有上市公司控制权：(1)投资者为上市公司持股50%以上的控股股东;(2)投资者可以实际支配上市公司股份表决权超过30%;(3)投资者通过实际支配上市公司股份表决权能够决定公司董事会“半数以上”成员选任;(4)投资者依其可实际支配的上市公司股份表决权足以对公司股东大会的决议产生重大影响;(5)中国证监会认定的其他情形。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131150.html">2020年注册会计师考试《经济法》每日一练(6-15)</a>,多选 经济法
非公开发行的公司债券应当向符合条件的合格投资者发行，但下列投资者中不受合格投资者资质条件限制的有( )。,发行人的董事,发行人的监事,发行人的高管,发行人的持股10%的股东,第七章.证券法律制度,ABCD,发行人的董事、监事、高级管理人员及持股比例超过5%的股东，可以参与本公司非公开发行公司债券的认购与转让，不受合格投资者资质条件的限制。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131150.html">2020年注册会计师考试《经济法》每日一练(6-15)</a>,多选 经济法
根据证券法律制度的规定，资信状况符合以下(  )标准的公司债券可以向公众投资者公开发行，也可以自主选择仅面向合格投资者公开发行。,发行人最近3年无债务违约或者迟延支付本息的事实,发行人最近3个会计年度实现的年均可分配利润不少于债券1年利息的1.5倍,债券信用评级达到AAA级,中国证监会根据投资者保护的需要规定的其他条件,第七章.证券法律制度,ABCD,略,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131150.html">2020年注册会计师考试《经济法》每日一练(6-15)</a>,多选 经济法
某上市公司拟公开发行可转换公司债券，其最近一期期末经审计的净资产为10亿元，下列有关该公司提供发行债券担保的情况中，说法正确的有( )。,该公司应当提供担保,该公司可以就债券本金提供部分担保,证券公司可以作为其担保人,上市商业银行可以作为其担保人,第七章.证券法律制度,AD,公开发行可转换公司债券，应当提供担保，但最近一期期末经审计的净资产不低于人民币15亿元的公司除外。证券公司或上市公司不得作为发行可转债的担保人，但上市商业银行除外。所以选项AD当选。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/131150.html">2020年注册会计师考试《经济法》每日一练(6-15)</a>,多选 经济法
