下列关于重整计划效力的相关说法中，符合《企业破产法》规定的是( )。,经人民法院裁定批准的重整计划，对债务人的特定财产享有担保权的债权无约束力,债权人未依法申报债权的，在重整计划执行期间不得行使权利,债务人不能执行或者不执行重整计划的，人民法院经管理人或者利害关系人请求，应当裁定终止重整计划的执行，并宣告债务人破产,人民法院裁定终止重整计划执行的，债权人在重整计划中作出的债权调整的承诺失去效力，但为重整计划的执行提供的担保继续有效,第八章 企业破产法律制度,BCD,根据《企业破产法》规定，经人民法院裁定批准的重整计划，对债务人和全体债权人均有约束力，包括债务人的特定财产享有担保权的债权人， 因此选项 A 的说法错误，故本题正确答案为 BCD。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/135026.html">2020年注册会计师考试《经济法》每日一练(7-3)</a>,多选 经济法
在破产程序中，债权人会议未能依法通过管理人的财产分配方案时，由人民法院裁定。根据企业破产法律制度的规定，有权对该裁定提出复议的债权人是( )。,占全部债权总额 1/2 以上的债权人,占无财产担保债权总额 1/2 以上的债权人,占无财产担保债权总额 2/3 以上的债权人,占全部债权人人数 2/3 以上的债权人,第八章 企业破产法律制度,B,债权人会议表决破产财产的分配方案时，经 2 次表决仍未通过的，由人民法院裁定。债权额占无财产担保债权总额 1/2 以上的债权人对人民法院作出的裁定不服的，可以自裁定宣布之日或者收到通知之日起 15 日内向该人民法院申请复议。复议期间不停止裁定的执行。故本题 B 选项表述正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134506.html">2020年注册会计师考试《经济法》每日一练(7-1)</a>,单选 经济法
根据企业破产法律制度的规定，债权人会议表决的下列事项中，对债务人的特定财产享有担保权且未放弃优先受偿权利的债权人享有表决权的有( )。,通过重整计划,通过和解协议,通过破产财产的分配方案,通过破产财产的变价方案,第八章 企业破产法律制度,AD,对债务人的特定财产享有担保权的债权人，未放弃优先受偿 权利的，对通过和解协议和破产财产的分配方案的事项不享有表决权，BC 选项属于不享有表决权的情形。故本题应当选择 AD 选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134506.html">2020年注册会计师考试《经济法》每日一练(7-1)</a>,多选 经济法
根据企业破产法律制度的规定，下列关于债权人会议的表述中，不正确的有( )。,所有债权人都可以参加债权人会议，并享有表决权,第一次债权人会议由人民法院召集,所有申报债权者均有权参加第一次债权人会议,债权人会议的决议，由出席会议的有表决权的债权人过半数通过即可,第八章 企业破产法律制度,AD,(1)对债务人的特定财产享有担保权的债权人，未放弃优先受偿权利的，对通过和解协议和破产财产的分配方案的事项不享有表决权，故 A 选项错误;(2)第一次债权人会议由人民法院召集，自债权申报期限届满之日起 15 日内召开，故 B 选项正确;(3)凡是债权申报者均有权参加第一次债权人会议，以后的债权人会议，只有债权得到确认者才有权参加并行使表决权，故 C 选项正确;(4) 债权人会议的决议规则不仅是看人数，还要看债权额;如和解协议，由出席会议的有表决权的债权人过半数同意，并且其所代表的债权额占无财产担保债权总额的 2/3 以上;故 D 选项错误。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134506.html">2020年注册会计师考试《经济法》每日一练(7-1)</a>,多选 经济法
债权人委员会是对破产程序进行监督的机构。下列关于债权人委员会的说法中， 正确的是( )。,是否设立债权人委员会，应由债权人会议根据需要决定,债权人会议必须决定设立债权人委员会,债权人委员会由债权人会议选定的债权人代表组成,债权人委员会应当经人民法院判决认可后方可设立,第八章 企业破产法律制度,A,(1)债权人委员会是由债权人会议根据需要确定是否设立的， 债权人会议非必设机构，也未要求人民法院判决认可;选项 A 正确，选项 BD 错误。(2)债权人委员会由债权人会议选任的债权人代表和 1 名债务人的职工代表或者工会代表组成，选项 C 错误。故本题正确答案为 A。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134506.html">2020年注册会计师考试《经济法》每日一练(7-1)</a>,单选 经济法
根据企业破产法律制度的规定，下列债务中，无需进行债权申报的有( )。,债务人所欠银行未到清偿期的借款,债务人所欠职工工资,债务人所欠税款,债务人所欠职工医疗费,第八章 企业破产法律制度,BD,职工债权(债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金)不必申报，由管理人调查后列出清单并予以 公示。故本题应当选择 BD 选项。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134302.html">2020年注册会计师考试《经济法》每日一练(6-30)</a>,多选 经济法
甲企业向乙企业购买货物，丙公司作为甲企业的担保人。当甲企业无力支付货款时，丙公司履行了保证责任。后来甲企业被人民法院受理破产，下列说法正确的是( )。,丙公司不能申报债权，仍应由乙企业申报债权,丙企业可以以其对甲企业的求偿权申报债权,丙公司和乙企业都不能申报债权,丙公司不能再向甲企业行使追偿权,第八章 企业破产法律制度,B,债务人的保证人或者其他连带债务人已经代替债务人清偿债务的，可以以其对债务人的求偿权申报债权，故 B 选项正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134302.html">2020年注册会计师考试《经济法》每日一练(6-30)</a>,单选 经济法
甲公司向乙银行贷款 50 万元，贷款于 8 月 5 日到期，丙公司为一般保证人，但是丙公司由于资产不足以清偿全部债务，已于 1 月 20 日破产。根据企业破产法律制度的相关规定，下列选项中说法不正确的有( )。,由于保证人丙公司破产所以不再承担保证责任,丙公司的补充责任应该按照实际分配数额确定,保证债务未到期，丙公司不承担保证责任,如果乙银行先从丙公司处获得清偿，应将款项进行提存,第八章 企业破产法律制度,ABC,(1)选项 A：人民法院受理保证人破产案件的，保证人的保证责任不得因其破产而免除;(2)选项 B：一般保证人的补充责任应按债权人申报的破产债权数额确定而不是实际分配额确定;(3)选项 C：保证债务尚未到期的， 可将未到期之保证责任视为已到期，提前予以清偿。故本题中 ABC 选项表述不正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134302.html">2020年注册会计师考试《经济法》每日一练(6-30)</a>,多选 经济法
根据企业破产法律制度的规定，下列表述不正确的是( )。,对债务人的特定财产享有担保权的债权人不享有表决权,债权人可以自己出席会议，也可以委托代理人出席债权人会议，行使表决权,凡是申报债权者均有权参加第一次债权人会议，有权参加对其债权的核查、确认活动,如存在职工劳动债权不能从破产财产中获得全额、及时优先受偿，或是在重整程序中债权人会议决议通过影响其清偿利益的重整计划草案等情况下，职工债权人应 享有表决权,第八章 企业破产法律制度,A,对债务人的特定财产享有担保权的债权人也属于债权人会议成员，且享有法定的表决权;只是未放弃优先受偿权利的，对通过和解协议和破产财 产的分配方案不享有表决权。故本题中 A 选项表述不正确。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134302.html">2020年注册会计师考试《经济法》每日一练(6-30)</a>,单选 经济法
根据《企业破产法》及司法解释规定，以下各项中可以作为破产债权的是( )。,债务人的保证人已经替代清偿的，其对债务人产生的求偿权,破产申请受理前成立的质押担保债权,未到期债权在破产申请受理后产生的利息,附条件、附期限的债权,第八章 企业破产法律制度,ABD,根据《企业破产法》规定，债务人的保证人或者其他连带债务人已经代替债务人清偿债务的，以其对债务人的求偿权申报债权，故选项 A 正确;有财产担保的债权和无财产担保的债权均在申报之列，选项 B 正确;附利息的债权，自破产申请受理时停止计息，选项 C 错误。附条件、附期限的债权和诉讼、仲裁未决的债权，债权人可以申报，选项 D 正确。故本题正确答案为 ABD。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/134302.html">2020年注册会计师考试《经济法》每日一练(6-30)</a>,多选 经济法
破产程序中，管理人收到债权人提出的主张债务抵销的通知后，经审查无异议的，抵销的生效时间是( )。,管理人审查无异议的当日,债权人提出之日,管理人收到通知之日起,抵销行为开始日,第八章 企业破产法律制度,C,根据规定，管理人收到债权人提出的主张债务抵销的通知后， 经审查无异议的，抵销自管理人收到通知之日起生效。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133957.html">2020年注册会计师考试《经济法》每日一练(6-29)</a>,单选 经济法
甲公司因不能清偿到期债务被债权人申请破产，此前甲公司欠乙公司 10 万元的租金一直没有支付。乙公司知道甲公司被申请破产后，遂从甲公司购买了 10 万元货物， 但迟迟不支付货款。人民法院受理甲公司的破产申请后，下列说法错误的有( )。,乙公司可以主张以此 10 万元货款抵销甲公司欠付的 10 万元租金,甲公司必须全额支付租金，乙公司向甲公司全额支付 10 万元货款,乙公司不得主张以此 10 万元货款抵销甲公司欠付的 10 万元租金,甲公司可以不用支付租金,第八章 企业破产法律制度,ABD,债权人(乙公司)已知债务人(甲公司)有不能清偿到期 债务或者破产申请的事实，对债务人负担债务(购买 10 万元货物)的，不得抵销。注意：是“知道甲公司被申请破产”造成不得抵销，故 C 选项说法正确，ABD 选项说法错误。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133957.html">2020年注册会计师考试《经济法》每日一练(6-29)</a>,多选 经济法
下列属于共益债务的是( )。,分配债务人财产的费用,管理人执行职务的费用、报酬和聘用工作人员的费用,因债务人不当得利所产生的债务,破产案件的诉讼费用,第八章 企业破产法律制度,C,根据《企业破产法》规定，人民法院受理破产申请后发生的下列债务，为共益债务：(1)因管理人或者债务人请求对方当事人履行双方均未履行 完毕的合同所产生的债务;(2)债务人财产受无因管理所产生的债务;(3)因债务 人不当得利所产生的债务;(4)为债务人继续营业而应支付的劳动报酬和社会保险费 用以及由此产生的其他债务;(5)管理人或者相关人员执行职务致人损害所产生的债 务;(6)债务人财产致人损害所产生的债务;故 C 选项属于共益债务。ABD 选项内容属于破产费用。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133957.html">2020年注册会计师考试《经济法》每日一练(6-29)</a>,单选 经济法
根据企业破产法律制度的规定，人民法院受理破产申请后，债务人发生的下列费用或债务，不属于破产费用的有( )。,破产案件的诉讼费用,管理人执行职务的费用、报酬,为债务人继续营业而应支付的劳动报酬和社会保险费用,履行双方均未履行完毕的合同所产生的债务,第八章 企业破产法律制度,CD,人民法院受理破产申请后发生的下列费用，为破产费用：(1)破产案件的诉讼费用;(2)管理、变价和分配债务人财产的费用;(3)管理人执行学员专用 请勿外泄职务的费用、报酬和聘用工作人员的费用;故 AB 选项属于破产费用。CD 选项属于共益债务。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133957.html">2020年注册会计师考试《经济法》每日一练(6-29)</a>,多选 经济法
根据企业破产法律制度的规定，下列选项中，不可以作为破产债权申报的有( )。,破产受理时尚未到期的债权,破产受理时附停止条件的债权,破产案件受理前成立的有财产担保的债权,管理人决定解除破产企业未履行的合同，除实际损失之外，依合同约定应支付给对方当事人的违约金,第八章 企业破产法律制度,D,管理人解除合同的，对方当事人应当以实际损失申报债权，不包括违约金，故 D 选项属于不得作为破产债权申报的情形。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133957.html">2020年注册会计师考试《经济法》每日一练(6-29)</a>,单选 经济法
根据企业破产法律制度的规定，人民法院受理破产申请前6个月内，涉及债务人财产的下列行为中，管理人有权请求人民法院予以撤销的是( )。,支付职工劳动报酬,支付人身损害赔偿金,向他人无偿转让企业财产,对个别债权人进行清偿的,第八章 企业破产法律制度,CD,债务人对债权人进行的以下个别清偿，管理人依据企业破产法第三十二条的规定请求撤销的，人民法院不予支持：债务人为维系基本生产需要而支付水费、电费等的;债务人支付劳动报酬、人身损害赔偿金的;使债务人财产受益的其他个别清偿。故选项AB为不可撤销行为。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133593.html">2020年注册会计师考试《经济法》每日一练(6-28)</a>,多选 经济法
根据《企业破产法》以及相关司法解释的规定，下列关于取回权的表述不正确的是( )。,除可能导致取回物被转让、毁损、灭失或者价值明显减少的外，债务人重整期间，权利人要求取回债务人合法占有的权利人的财产，不符合双方事先约定条件的，人民法院不予支持,权利人行使取回权时未依法向管理人支付相关的加工费、保管费、托运费、委托费、代销费等费用，管理人拒绝其取回相关财产的，人民法院不予支持,权利人依法向管理人主张取回相关财产，管理人不予认可，权利人有权以债务人为被告向人民法院提起诉讼请求行使取回权,权利人依据人民法院或者仲裁机关的相关生效法律文书向管理人主张取回所涉争议财产，管理人以生效法律文书错误为由拒绝其行使取回权的，人民法院不予支持,第八章 企业破产法律制度,B,选项B：权利人行使取回权时未依法向管理人支付相关的加工费、保管费、托运费、委托费、代销费等费用，管理人拒绝其取回相关财产的，人民法院应予支持。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133593.html">2020年注册会计师考试《经济法》每日一练(6-28)</a>,单选 经济法
甲公司向乙公司出售一批电脑，合同约定乙公司先付定金10万，甲公司再交货，货到之后验货付余款，乙公司交付定金以后，甲公司将电脑发运，发运后即得知乙公司破产案件已被法院受理，下列说法正确的是( )。,若货物尚未到达乙公司，甲公司有权通过管理人取回该批电脑,若电脑已经到达乙公司，甲公司有权通过管理人取回该批电脑,无论电脑是否到达乙公司，甲公司都可以通过管理人取回电脑,无论电脑是否到达乙公司，甲公司都不能取回电脑，只能申报债权,第八章 企业破产法律制度,A,出卖人已经将买卖标的物向作为买受人的债务人发运，债务人尚未收到且未付清全部价款的，出卖人可以取回在途的标的物，但是管理人可以支付全部价款，请求出卖人交付标的物。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133593.html">2020年注册会计师考试《经济法》每日一练(6-28)</a>,单选 经济法
根据《企业破产法》以及相关司法解释的规定，在买卖标的物到达管理人后，出卖人向管理人主张取回的，管理人应予准许的有( )。,出卖人通知承运人或者实际占有人中止运输、返还货物、变更到达地的等方式，对在运途中标的物主张取回权但未能实现的,出卖人通知承运人或者实际占有人将货物交给其他收货人等方式，对在运途中标的物主张取回权但未能实现的,出卖人在货物未到达管理人前已向管理人主张取回在运途中标的物的,出卖人对在运途中标的物未及时行使取回权，在买卖标的物到达管理人后向管理人行使在运途中标的物取回权的,第八章 企业破产法律制度,ABC,选项D：出卖人对在运途中标的物未及时行使取回权，在买卖标的物到达管理人后向管理人行使在运途中标的物取回权的，管理人不应准许。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133593.html">2020年注册会计师考试《经济法》每日一练(6-28)</a>,多选 经济法
根据《企业破产法》以及相关司法解释的规定，管理人对抵销主张提出异议，人民法院应予支持的是( )。,破产申请受理时，债务人对债权人负有的债务尚未到期,破产申请受理时，债权人对债务人负有的债务尚未到期,双方互负债务标的物种类、品质不同,债务人的债务人在破产申请受理后取得他人对债务人的债权的,第八章 企业破产法律制度,D,(1)选项ABC：管理人以下列理由提出异议的，人民法院不予支持：①破产申请受理时，债务人对债权人负有的债务尚未到期;②破产申请受理时，债权人对债务人负有的债务尚未到期;③双方互负债务标的物种类、品质不同。选项D属于禁止抵销的情形。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/jjf/133593.html">2020年注册会计师考试《经济法》每日一练(6-28)</a>,单选 经济法
