下列各项中，属于针对舞弊导致的认定层次重大错报风险实施的审计程序有()。,在不预先通知的情况下对特定存放地点的存货实施监盘,将询问范围延伸至管理层和会计部门以外的人员，以印证管理层完成与作出会计估计相关的计划的能力和意图,向第三方函证合同的具体条款,评价被审计单位对会计政策的选择和运用，是否可能表明管理层通过操纵利润对财务信息做出虚假报告,第十三章 对舞弊和法律法规的考虑,ABC,选项D属于针对评估的由于舞弊导致的财务报表层次重大错报风险的总体应对措施。【知识点】应对舞弊导致的认定层次的重大错报风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/138023.html">2020年注册会计师考试《审计》每日一练(7-17)</a>,多选 审计
下列关于财务报表审计中对法律法规的考虑的相关说法，错误的是()。,如果根据判断认为需要沟通的违反法律法规行为是故意和重大的，注册会计师应当就此尽快向管理层通报,针对被审计单位需要遵守的对决定财务报表中的金额和披露没有直接影响的其他法律法规，注册会计师的责任仅限于实施特定的审计程序，以识别可能对财务报表产生重大影响的违反这些法律法规的行为,针对被审计单位需要遵守的对决定财务报表中的重大金额和披露有直接影响的法律法规，注册会计师的责任是，就被审计单位遵守这些法律法规的规定获取充分、适当的审计证据,注册会计师没有责任防止被审计单位违反法律法规行为，也不能期望其发现所有的违反法律法规行为,第十三章 对舞弊和法律法规的考虑,A,如果根据判断认为需要沟通的违反法律法规行为是故意和重大的，注册会计师应当就此尽快向治理层通报。【知识点】对识别出的或怀疑存在的违反法律法规行为的报告,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137433.html">2020年注册会计师考试《审计》每日一练(7-15)</a>,单选 审计
以下与舞弊导致的重大错报风险相关的说法中，正确的有()。,因被审计单位工作失误导致重大错报未被发现的风险，通常大于因注册会计师工作过失导致重大错报未被发现的风险,因被审计单位舞弊导致的重大错报未被发现的风险，通常大于因其错误导致的重大错报未被发现的风险,因内部控制失效导致的重大错报未被发现的风险，通常大于因注册会计师判断失误导致的重大错报未被发现的风险,管理层舞弊导致的重大错报未被发现的风险，通常大于员工舞弊导致的重大错报未被发现的风险,第十三章 对舞弊和法律法规的考虑,BD,A、C中所陈述的两种失误不具有可比性。【知识点】舞弊风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137433.html">2020年注册会计师考试《审计》每日一练(7-15)</a>,多选 审计
下列各项中，属于侵占资产形式的舞弊的有()。,贪污收到的款项,盗窃实物资产或无形资产,使被审计单位对未收到的商品或未接受的劳务付款,将被审计单位资产挪为私用,第十三章 对舞弊和法律法规的考虑,ABCD,侵占资产可以通过以下方式实现：贪污收(第十三章到的款项.盗窃实物资产或无形资产.使被审计单位对未收到的商品或未接受的劳务付款.将被审计单位资产挪为私用。【知识点】舞弊的种类侵占资产,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137433.html">2020年注册会计师考试《审计》每日一练(7-15)</a>,多选 审计
被审计单位的治理层、管理层以及注册会计师对被审计单位由于舞弊导致的重大错报风险负有各自的责任。根据审计准则的相关规定，下列属于被审计单位管理层责任的有()。,建立旨在防止舞弊的内部控制,制定和维护与财务报表可靠性相关的内部控制,对可能导致财务报表发生重大错报的风险实施管理,监督旨在防止舞弊的内部控制,第十三章 对舞弊和法律法规的考虑,ABC,选项D属于被审计单位治理层的责任。【知识点】管理层的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137433.html">2020年注册会计师考试《审计》每日一练(7-15)</a>,多选 审计
下列有关会计分录和其他调整的说法中，正确的是( )。,审计准则要求注册会计师测试整个会计期间的会计分录和其他调整,注册会计师通常选择在报告期中作出的会计分录和其他调整进行测试,注册会计师在确定待测试会计分录和其他调整进行测试的性质、时间安排和范围 时，需要运用职业判断,注册会计师在对会计分录和其他调整实施完整性进行测试的时候，不需要事先确 定待测试会计分录和其他调整的总体,第十三章 对舞弊和法律法规的考虑,C,选项 A，审计准则要求注册会计师考虑是否有必要测试整个会计期间的会计分录和其他调整;选项 B，注册会计师通常选择在报告期末作出的会计分录和其他调整进行测试;选项 D，注册会计师在测试会计分录和其他调整时，首先需要确定待测试会计分录和其他调整的总体，然后针对该总体实施完整性测试。【知识点】会计分录测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137215.html">2020年注册会计师考试《审计》每日一练(7-14)</a>,单选 审计
 下列关于会计分录和其他调整的说法中，不正确的是( )。,注册会计师可以将被审计单位的会计分录和其他调整分录分为标准会计分录、非 标准会计分录以及其他调整,舞弊导致的财务报表重大错报通常涉及通过作出不恰当或未经授权的会计分录 对财务报告过程进行操纵,会计分录测试的对象是被审计单位所有的标准会计分录和非标准会计分录,当信息技术应用于财务报告过程中，会计分录和其他调整可能仅以电子形式存在,第十三章 对舞弊和法律法规的考虑,C,选项 C，会计分录测试的对象是与被审计财务报表相关的所有会计分录(包括标准会计分录和非标准会计分录)和其他调整，包括编制合并报表时 作出的调整分录和抵销分录。【知识点】会计分录测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137215.html">2020年注册会计师考试《审计》每日一练(7-14)</a>,单选 审计
注册会计师在考虑被审计单位甲公司遵守法律法规的情况时得出以下结论，其中错误的是( )。,注册会计师在了解总体法律框架时可能会了解甲公司相关行业状况、监管环境等 外部因素,对决定财务报表中的重大金额和披露有直接影响的法律法规，注册会计师应当获 取充分、适当的审计证据,检查甲公司与许可证颁发机构或监管机构的往来函件，可能有助于识别违反其他 法律法规的行为,书面声明是必要的审计证据，本身也能提供充分、适当的审计证据,第十三章 对舞弊和法律法规的考虑,D,书面声明可以提供必要的审计证据。然而，书面声明本身并 不提供充分、适当的审计证据，选项 D 错误。【知识点】管理层声明,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137215.html">2020年注册会计师考试《审计》每日一练(7-14)</a>,单选 审计
下列有关财务报表审计中对法律法规的考虑的说法中，错误的是( )。(2016年),注册会计师有责任实施特定的审计程序，以识别和应对可能对财务报表产生重大影响的违反法律法规行为,注册会计师没有责任防止被审计单位违反法律法规,如果被审计单位存在对财务报表有重大影响的违反法律法规行为，且未能在财务 报表中得到充分反映，注册会计师应发表保留意见或否定意见,注册会计师通常采用书面形式与被审计单位治理层沟通审计过程中注意到的有 关违反法律法规的事项,第十三章 对舞弊和法律法规的考虑,A,针对被审计单位需要遵守的第一类法律法规，注册会计师的责任是，就被审计单位遵守这些法律法规的规定获取充分、适当的审计证据;针对被 审计单位需要遵守的第二类法律法规，注册会计师的责任仅限于实施特定的审计程序， 以有助于识别可能对财务报表产生重大影响的违反这些法律法规的行为。【知识点】注册会计师的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137215.html">2020年注册会计师考试《审计》每日一练(7-14)</a>,单选 审计
下列有关注册会计师就被审计单位遵守法律法规的责任的表述中，不正确的是( )。,注册会计师没有责任防止被审计单位违反法律法规行为,注册会计师有责任对财务报表是否存在由于舞弊或错误导致的重大错报获取合 理保证,针对违反非直接影响财务报表的法律法规的行为，注册会计师的责任仅限于实施 询问、检查等特定的审计程序,即使注册会计师按照审计准则的规定恰当地计划和执行审计工作也不能保证发 现财务报表中所有重大错报,第十三章 对舞弊和法律法规的考虑,B,注册会计师有责任对财务报表整体是否不存在由于舞弊或错误导致的重大错报获取合理保证。【知识点】注册会计师的责任,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/137215.html">2020年注册会计师考试《审计》每日一练(7-14)</a>,单选 审计
在下列情形中，可能表明管理层存在舞弊机会的是( )。,经营活动产生的现金流量经常出现负数,在经济环境及文化背景不同的国家或地区从事重大经营或重大跨境经营,被审计单位客户需求大幅下降，所在行业经营失败的情况增多,难以应对技术变革、产品过时、利率调整等因素的急剧变化,第十三章 对舞弊和法律法规的考虑,B,选项 B 属于财务报表舞弊风险因素的机会风险因素，选项 A 、 C、D 均属于舞弊风险因素的动机或压力的风险因素。【知识点】舞弊风险三角模型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136906.html">2020年注册会计师考试《审计》每日一练(7-13)</a>,单选 审计
下列舞弊风险因素中，属于侵占资产相关的舞弊风险因素的是( )。,会计人员不能胜任而频繁更换,管理层在年报信息中作出的不切实际的预期,对处于关键控制岗位的员工未实行强制休假制度,与未经审计或由其他会计师事务所审计的关联企业进行重大交易,第十三章 对舞弊和法律法规的考虑,C,选项 C 属于与侵占资产导致的错报相关的机会舞弊风险因素。选项 B 属于与编制虚假财务报告导致的错报相关的动机或压力舞弊风险因素。选项 A 、 D 均属于与编制虚假财务报告导致的错报相关的机会舞弊风险因素。【知识点】舞弊风险中侵占资产的三角模型,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136906.html">2020年注册会计师考试《审计》每日一练(7-13)</a>,单选 审计
审计准则规定，在识别和评估由于舞弊导致的重大错报风险时，注册会计师应当基于收入确认存在舞弊风险的假定，在此基础上评价哪些类型的收入、收入交易或认 定导致舞弊风险。下列相关的说法中，错误的是( )。,假定收入确认存在舞弊风险，意味着注册会计师应当将与收入确认相关的所有认 定都假定为存在舞弊风险,注册会计师需要结合对被审计单位及其环境的具体来讲，考虑收入确认舞弊可能 如何发生,如果未将收入确认作为由于舞弊导致的重大错报风险领域，注册会计师应当在审 计工作底稿中记录得出该结论的理由,被审计单位不同，其舞弊风险所涉及的具体认定也不同，注册会计师需要作出具 体分析,第十三章 对舞弊和法律法规的考虑,A,假定收入确认存在舞弊风险，并不意味着注册会计师应当将与收入确认相关的所有认定都假定为存在舞弊风险。注册会计师需要结合对被审计单 位及其环境的具体来讲，考虑收入确认舞弊可能如何发生。被审计单位不同，管理层实 施舞弊的动机或压力不同，其舞弊风险所涉及的具体认定也不同，注册会计师需要作出 具体分析。【知识点】收入存在舞弊的假定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136906.html">2020年注册会计师考试《审计》每日一练(7-13)</a>,单选 审计
下列审计程序，通常不能应对管理层凌驾控制之上的风险是( )。(2017年),复核会计估计是否存在偏向,获取有关重大关联方交易的管理层书面声明,测试会计分录和其它调整,评价重大非常规交易的商业理由,第十三章 对舞弊和法律法规的考虑,B,管理层凌驾于控制之上的风险属于特别风险，无论对凌驾风险的评估结果如何，注册会计师都应当设计和实施的审计程序有：(1)测试日常会计核算过程中作出的会计分录以及编制财务报表过程中作出的其他调整是否恰当，(2) 复核会计估计是否存在偏向，(3)对于超出被审计单位正常经营过程的重大交易评价其商业理由。【知识点】应对管理层凌驾于控制之上的风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136906.html">2020年注册会计师考试《审计》每日一练(7-13)</a>,单选 审计
下列有关管理层凌驾于控制之上的风险说法中，不正确的是( )。,管理层凌驾于控制之上的风险在所有被审计单位中都会存在,管理层凌驾于控制之上的风险属于特别风险,滥用或随意变更会计政策属于管理层通过凌驾于控制之上实施舞弊的手段,如果对被审计单位管理层凌驾于控制之上的风险评估为低水平，注册会计师可以 不设计和实施审计程序,第十三章 对舞弊和法律法规的考虑,D,选项 D，无论对管理层凌驾于控制之上的风险的评估结果如何，注册会计师都应当设计和实施审计程序。【知识点】管理层凌驾于控制之上的风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/136906.html">2020年注册会计师考试《审计》每日一练(7-13)</a>,单选 审计
